2021-09-29 10:35:02.555 [main] INFO  com.example.zrf.ElkDemoApplication - Starting ElkDemoApplication on runfamac with PID 45090 (/Users/runfa/Documents/program/SpringCloud/springclouddemo/elk-demo/target/classes started by runfa in /Users/runfa/Documents/program/SpringCloud/springclouddemo)
2021-09-29 10:35:02.563 [main] INFO  com.example.zrf.ElkDemoApplication - The following profiles are active: dev
2021-09-29 10:35:04.295 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-09-29 10:35:04.308 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-09-29 10:35:04.309 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-29 10:35:04.309 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2021-09-29 10:35:04.421 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-29 10:35:04.424 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1751 ms
2021-09-29 10:35:04.800 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-09-29 10:35:05.143 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-09-29 10:35:05.177 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-09-29 10:35:05.250 [main] INFO  com.example.zrf.ElkDemoApplication - Started ElkDemoApplication in 3.452 seconds (JVM running for 4.112)
2021-09-29 10:35:26.116 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-09-29 10:35:26.119 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-09-29 10:35:26.133 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 14 ms
2021-09-29 10:35:26.179 [http-nio-8080-exec-2] INFO  com.example.zrf.controller.TestController - 测试日志
2021-09-29 14:10:41.975 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-09-29 14:10:49.774 [main] INFO  com.example.zrf.ElkDemoApplication - Starting ElkDemoApplication on runfamac with PID 46870 (/Users/runfa/Documents/program/SpringCloud/springclouddemo/elk-demo/target/classes started by runfa in /Users/runfa/Documents/program/SpringCloud/springclouddemo)
2021-09-29 14:10:49.777 [main] INFO  com.example.zrf.ElkDemoApplication - The following profiles are active: dev
2021-09-29 14:10:50.881 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-09-29 14:10:50.890 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-09-29 14:10:50.892 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-29 14:10:50.892 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2021-09-29 14:10:50.984 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-29 14:10:50.984 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1145 ms
2021-09-29 14:10:51.251 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-09-29 14:10:51.426 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-09-29 14:10:51.448 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-09-29 14:10:51.462 [main] INFO  com.example.zrf.ElkDemoApplication - Started ElkDemoApplication in 2.606 seconds (JVM running for 3.636)
2021-09-29 14:11:52.265 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-09-29 14:11:52.267 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-09-29 14:11:52.288 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 20 ms
2021-09-29 14:11:52.338 [http-nio-8080-exec-2] INFO  com.example.zrf.controller.TestController - 测试日志
2021-09-29 14:15:31.348 [http-nio-8080-exec-5] INFO  com.example.zrf.controller.TestController - 测试日志
2021-09-29 14:15:44.349 [http-nio-8080-exec-6] INFO  com.example.zrf.controller.TestController - 测试日志
2021-09-29 15:19:49.410 [http-nio-8080-exec-10] INFO  com.example.zrf.controller.TestController - 测试日志
2021-09-29 15:20:06.568 [http-nio-8080-exec-1] INFO  com.example.zrf.controller.TestController - 测试日志
2021-09-29 15:28:10.916 [http-nio-8080-exec-3] INFO  com.example.zrf.controller.TestController - 测试日志
2021-09-29 15:33:32.330 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-09-29 15:33:38.402 [main] INFO  com.example.zrf.ElkDemoApplication - Starting ElkDemoApplication on runfamac with PID 48247 (/Users/runfa/Documents/program/SpringCloud/springclouddemo/elk-demo/target/classes started by runfa in /Users/runfa/Documents/program/SpringCloud/springclouddemo)
2021-09-29 15:33:38.408 [main] INFO  com.example.zrf.ElkDemoApplication - The following profiles are active: dev
2021-09-29 15:33:39.946 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-09-29 15:33:39.957 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-09-29 15:33:39.960 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-29 15:33:39.960 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2021-09-29 15:33:40.029 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-29 15:33:40.029 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1553 ms
2021-09-29 15:33:40.410 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-09-29 15:33:40.682 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
