2021-09-30 10:13:50.918 [main] INFO  com.example.zrf.ElkDemoApplication - Starting ElkDemoApplication on runfamac with PID 2433 (/Users/runfa/Documents/program/SpringCloud/springclouddemo/elk-demo/target/classes started by runfa in /Users/runfa/Documents/program/SpringCloud/springclouddemo)
2021-09-30 10:13:50.934 [main] INFO  com.example.zrf.ElkDemoApplication - The following profiles are active: dev
2021-09-30 10:13:52.159 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-09-30 10:13:52.169 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-09-30 10:13:52.170 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-30 10:13:52.171 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2021-09-30 10:13:52.244 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-30 10:13:52.245 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1208 ms
2021-09-30 10:13:52.532 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-09-30 10:13:52.727 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-09-30 10:13:52.757 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-09-30 10:13:52.773 [main] INFO  com.example.zrf.ElkDemoApplication - Started ElkDemoApplication in 2.581 seconds (JVM running for 3.299)
2021-09-30 10:17:36.336 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-09-30 10:17:36.338 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-09-30 10:17:36.362 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 24 ms
2021-09-30 10:17:36.445 [http-nio-8080-exec-2] INFO  com.example.zrf.controller.TestController - 测试日志
2021-09-30 10:18:07.358 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-09-30 10:18:11.358 [main] INFO  com.example.zrf.ElkDemoApplication - Starting ElkDemoApplication on runfamac with PID 2563 (/Users/runfa/Documents/program/SpringCloud/springclouddemo/elk-demo/target/classes started by runfa in /Users/runfa/Documents/program/SpringCloud/springclouddemo)
2021-09-30 10:18:11.364 [main] INFO  com.example.zrf.ElkDemoApplication - The following profiles are active: dev
2021-09-30 10:18:12.640 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-09-30 10:18:12.656 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-09-30 10:18:12.657 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-30 10:18:12.657 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2021-09-30 10:18:12.717 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-30 10:18:12.718 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1271 ms
2021-09-30 10:18:13.021 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-09-30 10:18:13.180 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-09-30 10:18:13.203 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-09-30 10:18:13.218 [main] INFO  com.example.zrf.ElkDemoApplication - Started ElkDemoApplication in 2.697 seconds (JVM running for 3.325)
2021-09-30 10:18:23.334 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-09-30 10:18:23.337 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-09-30 10:18:23.350 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 13 ms
2021-09-30 10:18:23.401 [http-nio-8080-exec-2] INFO  com.example.zrf.controller.TestController - 测试日志
2021-09-30 10:22:34.007 [http-nio-8080-exec-5] INFO  com.example.zrf.controller.TestController - 测试日志
2021-09-30 10:27:19.548 [http-nio-8080-exec-8] INFO  com.example.zrf.controller.TestController - 测试日志
